#please cite:
#1.Zhou KR, Liu S, Cai L, Bin L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000062	hsa-let-7a-5p	ENSG00000131591	C1orf159	protein_coding	chr1	1021303	1021331	1021303	1021331	-	6	0	AGO1-4,AGO2	0	0	0	1	0	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000131584	ACAP3	protein_coding	chr1	1228472	1228478	1228472	1228478	-	1	0	AGO1-4	0	0	0	0	0	0	1	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000221978	CCNL2	protein_coding	chr1	1325636	1325641	1325636	1325641	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000116237	ICMT	protein_coding	chr1	6283746	6283752	6283745	6283763	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	1	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000116285	ERRFI1	protein_coding	chr1	8073632	8073638	8073632	8073660	-	26	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000116285	ERRFI1	protein_coding	chr1	8073787	8073815	8073787	8073815	-	9	0	AGO1-4,AGO2	0	0	0	1	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000180758	GPR157	protein_coding	chr1	9164308	9164314	9164307	9164335	-	2	0	AGO2	0	0	1	1	0	0	1	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000180758	GPR157	protein_coding	chr1	9188768	9188796	9188768	9188796	-	3	0	AGO1-4	0	0	0	1	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000160049	DFFA	protein_coding	chr1	10522628	10522633	10522628	10522633	-	1	0	AGO1-4	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000177000	MTHFR	protein_coding	chr1	11846381	11846388	11846381	11846388	-	4	0	AGO1-4	1	0	0	0	0	0	0	1
MIMAT0000062	hsa-let-7a-5p	ENSG00000173641	HSPB7	protein_coding	chr1	16340894	16340900	16340893	16340917	-	5	0	AGO1-4,AGO2	1	0	0	0	1	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000142627	EPHA2	protein_coding	chr1	16451316	16451321	16451316	16451321	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000127463	EMC1	protein_coding	chr1	19544035	19544040	19544035	19544040	-	2	0	AGO1-4	0	0	1	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000244038	DDOST	protein_coding	chr1	20978757	20978762	20978757	20978762	-	38	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000007968	E2F2	protein_coding	chr1	23835087	23835092	23835086	23835114	-	2	0	AGO2	1	0	1	1	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000007968	E2F2	protein_coding	chr1	23835557	23835562	23835556	23835584	-	2	0	AGO2	1	0	1	1	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000007968	E2F2	protein_coding	chr1	23836054	23836060	23836053	23836081	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000007968	E2F2	protein_coding	chr1	23836329	23836335	23836328	23836356	-	4	0	AGO1-4,AGO2	1	0	1	1	0	0	1	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000007968	E2F2	protein_coding	chr1	23842906	23842934	23842906	23842934	-	6	0	AGO1,AGO1-4	0	0	0	1	0	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000117308	GALE	protein_coding	chr1	24122327	24122333	24122326	24122354	-	6	0	AGO1-4,AGO2	1	0	0	1	1	1	1	14
MIMAT0000062	hsa-let-7a-5p	ENSG00000142677	IL22RA1	protein_coding	chr1	24446354	24446360	24446353	24446381	-	2	0	AGO2	1	0	1	1	1	0	0	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000158006	PAFAH2	protein_coding	chr1	26288030	26288036	26288029	26288050	-	5	0	AGO1-4,AGO2	1	0	0	0	1	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000198746	GPATCH3	protein_coding	chr1	27217346	27217351	27217345	27217351	-	5	0	AGO1-4,AGO2	1	0	0	0	0	1	1	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000158161	EYA3	protein_coding	chr1	28362060	28362088	28362060	28362088	-	13	0	AGO1,AGO1-4,AGO2,AGO4	0	0	0	1	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000158161	EYA3	protein_coding	chr1	28365367	28365395	28365367	28365395	-	8	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000169403	PTAFR	protein_coding	chr1	28474355	28474383	28474355	28474383	-	1	1	AGO2	0	0	0	1	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000169403	PTAFR	protein_coding	chr1	28476371	28476377	28476370	28476398	-	1	0	AGO1-4	1	0	1	1	1	0	1	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000162512	SDC3	protein_coding	chr1	31349507	31349529	31349507	31349529	-	4	0	AGO1-4,AGO2	0	1	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000160055	TMEM234	protein_coding	chr1	32682316	32682322	32682315	32682335	-	1	0	AGO2	1	0	1	0	1	0	1	9
MIMAT0000062	hsa-let-7a-5p	ENSG00000175130	MARCKSL1	protein_coding	chr1	32799926	32799932	32799925	32799946	-	19	0	AGO1,AGO1-4,AGO2	1	1	0	0	1	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000160058	BSDC1	protein_coding	chr1	32833001	32833007	32833000	32833028	-	2	0	AGO2	1	0	1	1	1	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000160058	BSDC1	protein_coding	chr1	32833293	32833299	32833292	32833320	-	2	0	AGO1-4,AGO2	1	1	1	1	1	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000142687	KIAA0319L	protein_coding	chr1	35900434	35900440	35900434	35900440	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0000062	hsa-let-7a-5p	ENSG00000126067	PSMB2	protein_coding	chr1	36068699	36068720	36068699	36068720	-	32	0	AGO1,AGO1-4,AGO2	0	0	0	0	1	0	0	15
MIMAT0000062	hsa-let-7a-5p	ENSG00000196182	STK40	protein_coding	chr1	36807091	36807097	36807090	36807113	-	14	0	AGO1-4,AGO2	1	0	0	0	1	1	1	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000183431	SF3A3	protein_coding	chr1	38423575	38423580	38423574	38423595	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000214114	MYCBP	protein_coding	chr1	39329242	39329248	39329241	39329269	-	5	0	AGO1-4,AGO2	1	0	0	1	1	1	1	7
MIMAT0000062	hsa-let-7a-5p	ENSG00000116990	MYCL	protein_coding	chr1	40362506	40362511	40362505	40362513	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	1	1	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000127124	HIVEP3	protein_coding	chr1	41978530	41978549	41978530	41978549	-	2	0	AGO1-4	0	1	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000159479	MED8	protein_coding	chr1	43850493	43850499	43850492	43850520	-	3	0	AGO1-4,AGO2	1	0	1	1	1	1	1	12
MIMAT0000062	hsa-let-7a-5p	ENSG00000162415	ZSWIM5	protein_coding	chr1	45482670	45482676	45482669	45482697	-	2	1	AGO1-4	1	0	0	1	1	1	1	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000132128	LRRC41	protein_coding	chr1	46744521	46744536	46744521	46744536	-	2	0	AGO1-4,AGO2	0	0	0	0	1	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000123472	ATPAF1	protein_coding	chr1	47099059	47099065	47099058	47099086	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000159658	EFCAB14	protein_coding	chr1	47142797	47142802	47142797	47142802	-	1	0	AGO1-4	1	0	0	0	0	0	0	3
MIMAT0000062	hsa-let-7a-5p	ENSG00000085832	EPS15	protein_coding	chr1	51821668	51821673	51821668	51821673	-	2	0	AGO1-4	1	0	0	0	0	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000134744	ZCCHC11	protein_coding	chr1	52889526	52889547	52889526	52889547	-	5	0	AGO1-4,AGO2	0	0	0	0	1	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000058799	YIPF1	protein_coding	chr1	54317412	54317417	54317411	54317439	-	8	0	AGO1-4,AGO2	1	0	0	1	1	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000162396	PARS2	protein_coding	chr1	55222648	55222654	55222647	55222675	-	14	0	AGO1-4,AGO2	1	0	1	1	1	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000162402	USP24	protein_coding	chr1	55532167	55532173	55532166	55532194	-	9	0	AGO1-4,AGO2,AGO3	1	0	1	1	1	1	1	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000162402	USP24	protein_coding	chr1	55565446	55565474	55565446	55565474	-	1	1	AGO2	0	0	0	1	0	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000162402	USP24	protein_coding	chr1	55604357	55604385	55604357	55604385	-	13	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000142864	SERBP1	protein_coding	chr1	67875393	67875400	67875393	67875400	-	2	0	AGO1,AGO1-4	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000172380	GNG12	protein_coding	chr1	68169269	68169274	68169269	68169274	-	1	0	AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000118454	ANKRD13C	protein_coding	chr1	70727736	70727741	70727736	70727741	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000077254	USP33	protein_coding	chr1	78162716	78162721	78162716	78162721	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000137941	TTLL7	protein_coding	chr1	84331849	84331854	84331849	84331854	-	1	0	AGO1-4	0	0	1	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000174021	GNG5	protein_coding	chr1	84964096	84964102	84964095	84964123	-	47	3	AGO1,AGO1-4,AGO2,AGO3	1	0	1	1	1	1	1	6
MIMAT0000062	hsa-let-7a-5p	ENSG00000117155	SSX2IP	protein_coding	chr1	85112666	85112673	85112666	85112673	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000171502	COL24A1	protein_coding	chr1	86195737	86195758	86195737	86195758	-	1	0	AGO2	0	0	0	0	1	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000122417	ODF2L	protein_coding	chr1	86812565	86812571	86812565	86812571	-	1	0	AGO2	0	0	1	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000137947	GTF2B	protein_coding	chr1	89325833	89325855	89325833	89325855	-	20	0	AGO1,AGO1-4,AGO2	0	1	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000117228	GBP1	protein_coding	chr1	89518831	89518836	89518831	89518836	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000122482	ZNF644	protein_coding	chr1	91380938	91380943	91380937	91380965	-	15	0	AGO1,AGO1-4,AGO2,AGO3	1	0	1	1	1	1	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000122482	ZNF644	protein_coding	chr1	91381632	91381638	91381631	91381659	-	14	0	AGO1,AGO1-4,AGO2	1	0	1	1	1	1	1	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000122482	ZNF644	protein_coding	chr1	91383642	91383670	91383642	91383670	-	18	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000122482	ZNF644	protein_coding	chr1	91406320	91406348	91406320	91406348	-	14	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000069702	TGFBR3	protein_coding	chr1	92146296	92146302	92146295	92146315	-	35	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	0	1	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000069702	TGFBR3	protein_coding	chr1	92147989	92147994	92147989	92147994	-	1	0	AGO2	1	0	1	0	0	0	0	2
MIMAT0000062	hsa-let-7a-5p	ENSG00000162676	GFI1	protein_coding	chr1	92941424	92941429	92941424	92941429	-	1	0	AGO1-4	1	0	0	0	0	0	0	5
MIMAT0000062	hsa-let-7a-5p	ENSG00000117500	TMED5	protein_coding	chr1	93618244	93618250	93618243	93618263	-	53	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	1	1	8
MIMAT0000062	hsa-let-7a-5p	ENSG00000067334	DNTTIP2	protein_coding	chr1	94334347	94334352	94334347	94334352	-	1	0	AGO1	0	0	1	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000067334	DNTTIP2	protein_coding	chr1	94334605	94334610	94334605	94334610	-	4	0	AGO1,AGO2	0	0	1	0	0	0	0	4
MIMAT0000062	hsa-let-7a-5p	ENSG00000156876	SASS6	protein_coding	chr1	100549252	100549257	100549252	100549257	-	9	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
